               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027144,            0.021462,            0.008919,             0.84953,             0.86658,             0.92225,             0.66135,            0.018132,           0.0083177,           0.0038183,             0.00307,             0.00307,             0.00307
                  37,            0.027434,            0.021381,           0.0091004,             0.84604,             0.87144,             0.92547,             0.66504,            0.018166,           0.0082916,           0.0039211,            0.002872,            0.002872,            0.002872
                  38,            0.027207,            0.021377,           0.0086053,             0.84524,              0.8794,             0.92656,             0.66773,            0.018094,           0.0082631,           0.0040822,            0.002674,            0.002674,            0.002674
                  39,            0.027134,            0.021209,           0.0084216,             0.84401,             0.88041,             0.92509,             0.66597,             0.01805,           0.0082697,           0.0040772,            0.002476,            0.002476,            0.002476
                  40,            0.026728,            0.020813,           0.0082343,             0.84873,             0.87692,             0.92386,             0.66709,            0.018051,           0.0082498,           0.0039557,            0.002278,            0.002278,            0.002278
                  41,            0.026527,            0.020795,           0.0080466,             0.85713,             0.87547,             0.92495,             0.66767,            0.018105,           0.0082345,           0.0040483,             0.00208,             0.00208,             0.00208
                  42,            0.026388,             0.02069,           0.0080337,             0.85018,              0.8846,             0.92602,             0.66911,            0.018072,           0.0082284,           0.0040345,            0.001882,            0.001882,            0.001882
                  43,            0.026488,            0.020531,           0.0078072,             0.85458,             0.87836,             0.92683,             0.66896,            0.018074,           0.0082135,           0.0040467,            0.001684,            0.001684,            0.001684
                  44,            0.026087,            0.020522,           0.0076097,             0.84745,             0.88589,             0.92623,              0.6703,            0.018055,           0.0082166,           0.0039388,            0.001486,            0.001486,            0.001486
                  45,             0.02599,            0.020429,           0.0075573,             0.86064,             0.87297,             0.92674,             0.67143,            0.018069,           0.0082358,           0.0039071,            0.001288,            0.001288,            0.001288
                  46,            0.026009,            0.020464,           0.0073979,             0.86536,             0.86335,             0.92633,              0.6718,            0.018077,           0.0082385,           0.0039279,             0.00109,             0.00109,             0.00109
                  47,            0.025773,            0.020456,           0.0072532,             0.85731,             0.87029,             0.92618,             0.67205,            0.018069,           0.0082332,           0.0039454,            0.000892,            0.000892,            0.000892
                  48,            0.025462,            0.020018,           0.0070991,             0.85602,             0.87194,             0.92628,             0.67112,            0.018065,           0.0082255,           0.0039459,            0.000694,            0.000694,            0.000694
                  49,            0.025292,            0.020159,            0.006921,             0.85739,             0.87343,             0.92574,             0.67152,            0.018058,           0.0082175,           0.0039703,            0.000496,            0.000496,            0.000496
